player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Odsonne Édouard,Crystal Palace,F,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,,,0,0,0,0,0,0,0,0,0,0,,2,100,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,2,50,0,0,0,0,0,0,5,1,0
Romain Esse,Crystal Palace,M,0,0,5,1,100,8,5,13,65,1,25,3,4,0,2,0,0,0,0,0,2,1,9,0,0,0.03989478,,2,0,0,0,0,0,0,0,0,0,,5,45.45454545,0,0,0,7,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,16,1,0,6.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2,1,50,0,2,2,6,40,1,13,7,20,0,0,37,2,0
Evann Guessand,Crystal Palace,F,0,0,59,1,50,99,46,145,81.92090395,10,43.47826087,13,19,2,42,2,3,1,1,9,28,5,86,1,0,0.92200842,1.5599,15,0,9.090909091,1,3,15,14,1,1,0,,57,43.84615385,0,0,1,32,5,5,0,9,896,0,0,0,0,0,0,0,0,0,0,124,3,0,6.547368421,0,1,0,0,0,0,0,896,0,0,11,0,4,6,13,34.21052632,24,13,54.16666667,5,38,11,67,43.79084967,2,124,53,177,11,0,397,20,0
Justin Devenny,Crystal Palace,M,0,0,51,8,36.36363636,85,56,141,71.93877551,6,25,18,18,0,24,0,4,4,1,8,10,14,61,0,0,0.35114287,2.6207,10,0,7.692307692,1,1,10,8,2,1,0,,24,35.82089552,0,0,1,55,0,7,1,5,638,1,0,0,1,0,100,0,1,0,0,113,2,0,6.470588235,0,0,0,0,0,0,0,638,0,1,10,3,5,4,2,16.66666667,16,8,50,7,12,9,30,32.96703297,22,128,68,196,13,0,347,6,0
Christantus Uche,Crystal Palace,F,0,0,17,1,33.33333333,25,10,35,59.3220339,8,38.0952381,13,14,0,9,0,1,2,0,3,7,4,32,0,0,0.02545913,0.492,4,0,0,0,0,4,3,1,0,0,,8,29.62962963,0,0,0,24,0,0,0,0,193,3,0,0,0,0,0,0,0,0,1,52,2,0,6.461538462,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,1,1,100,0,4,6,16,33.33333333,3,48,11,59,6,0,113,7,0
Joel Drakes-Thomas,Crystal Palace,M,0,0,4,0,0,6,2,8,72.72727273,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0.00432351,,1,0,0,0,0,1,0,1,0,0,,1,33.33333333,0,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,1,0,1,33.33333333,0,7,4,11,0,0,13,0,0
Jørgen Strand Larsen,Crystal Palace,F,0,0,84,5,35.71428571,159,90,249,65.18324607,64,41.83006536,89,28,1,29,1,4,7,2,32,22,10,175,0,0,0.67336743,4.1575,46,0,12.5,4,5,31,25,6,4,0,,29,25.2173913,1,0,1,133,4,9,0,20,1874,10,0,0,2,0,50,0,1,0,0,230,5,0,6.414285714,0,3,0,0,0,0,0,468.5,0,0,28,4,13,12,5,33.33333333,7,2,28.57142857,9,15,3,93,34.70149254,14,264,118,382,32,1,635,17,4
Kaden Rodney,Crystal Palace,M,0,0,1,0,0,1,2,3,60,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00026374,,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,0,0,5,0,0
Borna Sosa,Crystal Palace,M,0,0,4,0,0,5,5,10,45.45454545,2,66.66666667,1,5,0,1,0,0,0,0,3,0,0,5,0,0,0.05857559,,3,0,0,0,0,1,0,1,0,0,,3,42.85714286,0,0,0,12,1,1,0,0,53,0,0,0,0,0,0,0,0,0,0,20,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,5,5,50,5,16,6,22,0,0,44,0,0
Ethan Ampadu,Leeds United,M,9,36,221,63,50,544,624,1168,84.88372093,49,67.12328767,24,28,1,148,1,2,7,4,67,10,14,84,0,3,1.99667558,1.8079,36,0,5,1,2,41,36,5,1,0,,105,63.63636364,0,0,0,208,39,16,0,28,2493,0,0,1,0,1,0,0,0,0,0,367,12,0,7.139285714,0,1,0,0,0,0,0,2493,0,0,8,12,8,5,10,66.66666667,69,38,55.07246377,15,15,25,154,64.70588235,126,694,682,1376,20,3,1904,28,7
Anton Stach,Leeds United,M,41,30.59701493,232,40,54.79452055,410,274,684,78.80184332,43,62.31884058,26,26,3,111,9,1,22,5,48,24,21,124,0,1,4.32518977,2.5477,32,3,8.333333333,4,7,34,30,4,1,3,,93,48.69109948,0,0,0,184,19,58,0,25,2142,0,0,0,0,1,0,0,0,0,0,357,22,0,7.126923077,0,4,0,0,0,0,0,535.5,42.85714286,7,19,29,13,13,18,46.15384615,57,32,56.14035088,58,39,134,136,52.30769231,73,549,319,868,48,3,1384,20,3
Karl Darlow,Leeds United,G,0,0,39,121,33.24175824,88,246,334,57.38831615,4,100,0,15,0,142,0,0,0,3,19,0,0,0,0,1,0.05917699,,0,0,0,0,0,19,15,4,0,0,-2.8499,5,100,0,10,0,248,0,0,0,15,1350,0,0,0,0,0,0,2,0,0,0,250,0,8,6.906666667,0,0,24,12,36,0,6,0,0,0,0,0,0,0,1,100,0,0,0,0,1,0,9,100,364,307,275,582,0,1,734,5,1
Sean Longstaff,Leeds United,M,24,48,71,13,43.33333333,164,189,353,85.47215496,8,44.44444444,10,17,2,38,6,0,3,1,10,10,21,55,0,0,1.51332043,0.8523,10,0,7.692307692,1,3,19,15,4,1,0,,55,55,0,0,1,60,10,22,0,10,957,1,0,0,0,0,0,0,0,0,0,110,5,0,6.846666667,0,1,0,0,0,0,0,957,0,1,6,7,8,2,1,16.66666667,37,22,59.45945946,22,6,50,63,53.38983051,30,205,208,413,13,1,612,17,2
James Justin,Leeds United,D,5,18.51851852,67,22,39.28571429,146,213,359,76.05932203,28,50.90909091,27,22,1,50,4,1,5,4,59,7,9,62,0,1,0.97085529,0.8665,9,0,5.882352941,1,2,18,17,1,1,0,,53,60.22727273,0,0,1,113,20,10,1,14,1286,2,0,0,0,0,0,0,0,0,0,191,0,0,6.842857143,0,0,0,0,0,0,0,1286,0,0,12,5,8,4,2,16.66666667,31,22,70.96774194,10,12,27,81,56.64335664,56,230,242,472,17,1,818,21,2
Jaka Bijol,Leeds United,D,0,0,56,38,45.23809524,164,460,624,85.3625171,50,54.34782609,42,18,1,49,1,1,3,3,101,0,3,59,0,1,0.65472826,0.7858,15,0,8.333333333,1,2,21,21,0,1,0,,32,65.30612245,1,0,1,107,22,4,0,14,1329,0,0,0,0,1,0,0,0,0,0,117,1,0,6.833333333,0,0,0,0,0,0,0,1329,0,0,12,0,3,6,2,100,21,12,57.14285714,4,2,1,82,58.15602837,84,244,487,731,12,0,943,9,3
Noah Okafor,Leeds United,F,6,18.75,85,19,79.16666667,132,58,190,75.69721116,12,41.37931034,17,24,0,46,2,3,9,0,11,20,11,106,0,0,0.97065995,4.2223,16,0,14.81481481,4,4,24,21,3,4,0,,66,42.58064516,0,0,0,61,10,14,2,15,1303,0,0,0,0,0,0,0,0,0,0,214,7,0,6.829166667,0,2,0,0,0,0,0,325.75,0,0,20,7,8,10,33,43.42105263,20,13,65,14,76,32,78,42.39130435,24,181,70,251,27,1,560,13,3
Pascal Struijk,Leeds United,D,0,0,151,59,45.03816794,443,926,1369,87.98200514,94,55.62130178,75,28,1,101,1,4,7,5,178,6,13,115,0,0,0.74187592,2.5399,21,0,0,0,1,40,35,5,0,0,,50,55.55555556,0,0,0,187,27,11,0,27,2431,5,0,0,0,0,0,0,0,0,0,220,1,0,6.8,0,0,0,0,0,0,0,0,0,0,24,1,14,4,2,50,30,19,63.33333333,11,4,2,144,55.5984556,131,564,992,1556,25,0,1936,19,4
Joe Rodon,Leeds United,D,2,40,113,36,43.90243902,369,793,1162,88.43226788,78,53.42465753,68,29,0,73,1,1,4,5,165,4,8,90,1,2,0.40903327,1.2123,12,0,13.33333333,2,2,46,41,5,2,0,,48,68.57142857,2,0,1,152,27,5,0,29,2547,1,0,0,0,0,0,0,0,0,0,193,1,0,6.731034483,0,0,0,0,0,0,0,1273.5,0,0,15,0,7,4,1,100,32,17,53.125,5,1,5,126,58.33333333,82,470,844,1314,15,0,1705,17,1
Brenden Aaronson,Leeds United,M,9,26.47058824,147,6,27.27272727,268,161,429,79.44444444,19,31.14754098,42,30,3,107,8,4,15,1,11,60,31,192,0,0,3.01179453,4.1405,17,0,9.756097561,4,7,27,23,4,3,1,,110,42.30769231,0,0,2,111,11,26,1,24,1995,5,0,0,0,1,0,0,0,0,0,316,11,0,6.726666667,0,3,0,0,0,0,0,498.75,0,0,25,16,11,15,22,32.8358209,45,21,46.66666667,26,67,34,129,40.18691589,22,352,188,540,41,1,1051,43,1
Ilia Gruev,Leeds United,M,4,26.66666667,75,19,67.85714286,190,313,503,89.82142857,12,37.5,20,21,3,49,2,1,1,2,16,5,18,60,0,0,0.86931622,0.4399,16,0,0,0,3,23,22,1,0,0,,38,48.71794872,0,0,0,57,15,11,0,15,1306,0,0,0,0,0,0,0,0,0,0,90,4,0,6.705,0,0,0,0,0,0,0,0,0,0,3,3,4,1,6,85.71428571,24,12,50,11,7,15,50,45.45454545,28,227,333,560,6,0,718,9,3
Sebastiaan Bornauw,Leeds United,D,1,100,6,6,40,24,64,88,81.48148148,9,47.36842105,10,9,0,7,0,0,0,0,23,1,2,18,0,0,0.0128804,,5,0,0,0,0,4,4,0,0,0,,7,46.66666667,0,0,0,20,4,0,0,4,315,0,0,0,0,0,0,0,0,0,0,26,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,6,2,33.33333333,0,1,1,16,47.05882353,15,36,72,108,0,0,170,0,1
Wilfried Gnonto,Leeds United,F,1,6.666666667,51,6,75,73,46,119,80.95238095,1,7.692307692,12,16,1,17,1,0,4,0,7,6,2,35,0,0,0.54777641,0.2751,7,0,0,0,1,11,11,0,0,0,,23,50,0,0,0,28,3,6,0,4,391,0,0,0,0,0,0,0,0,0,1,66,4,0,6.666666667,0,0,0,0,0,0,0,0,0,0,3,5,4,0,1,11.11111111,14,11,78.57142857,6,9,15,24,40.6779661,8,95,52,147,8,0,250,8,3
Ao Tanaka,Leeds United,M,2,16.66666667,82,9,39.13043478,157,174,331,84.22391858,9,50,9,21,0,45,1,0,1,1,7,4,15,38,0,1,0.67358938,0.8471,8,0,16.66666667,2,2,16,16,0,1,1,,22,43.1372549,0,0,0,62,12,8,1,7,775,0,0,0,0,0,0,0,0,0,0,94,5,0,6.657894737,0,1,0,0,0,0,0,387.5,0,0,4,8,8,3,1,20,17,8,47.05882353,8,5,12,31,44.92753623,23,198,195,393,12,0,511,4,1
Lukas Nmecha,Leeds United,F,0,0,36,4,80,69,38,107,63.69047619,24,35.82089552,43,25,1,23,1,6,2,0,8,14,3,79,0,0,0.90676954,6.234,16,0,27.27272727,6,7,18,17,1,6,0,,22,37.93103448,0,0,0,61,3,6,1,9,893,2,0,0,3,0,66.66666667,0,2,0,0,119,6,0,6.643478261,0,5,0,0,0,0,0,148.8333333,0,0,21,1,6,14,2,28.57142857,8,5,62.5,6,7,7,46,36.8,5,121,47,168,22,0,320,14,0
Dominic Calvert-Lewin,Leeds United,F,1,12.5,100,4,66.66666667,144,51,195,60.37151703,97,39.59183673,148,28,1,36,2,14,6,3,26,24,4,223,0,0,0.9966737,11.5888,32,0,17.24137931,10,11,28,23,5,10,0,,46,38.01652893,3,0,3,128,2,17,1,23,2119,22,0,0,3,0,66.66666667,0,2,0,1,268,16,0,6.639285714,0,5,0,0,0,0,0,211.9,0,0,53,5,26,26,6,23.07692308,10,4,40,17,26,8,143,39.07103825,6,261,62,323,58,1,667,30,1
Daniel James,Leeds United,M,5,11.9047619,34,1,25,49,12,61,64.21052632,2,40,3,15,0,18,1,2,5,0,2,2,4,18,0,0,0.59946703,0.7045,1,0,0,0,0,13,11,2,0,0,,17,53.125,0,0,0,34,1,8,0,4,422,1,0,0,0,0,0,0,0,0,0,93,3,0,6.62,0,0,0,0,0,0,0,0,0,0,4,6,3,2,5,38.46153846,5,4,80,8,13,42,19,51.35135135,4,76,19,95,10,0,202,7,0
Lucas Perri,Leeds United,G,0,0,23,93,26.4957265,67,232,299,53.58422939,5,71.42857143,2,16,0,100,0,0,0,3,16,0,0,3,0,0,0.02700163,,1,0,0,0,0,29,28,1,0,0,-2.1848,2,66.66666667,0,9,0,259,0,0,0,16,1440,0,0,0,0,1,0,4,0,0,0,274,0,6,6.5875,0,0,29,8,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,351,293,265,558,0,0,700,3,2
Jack Harrison,Leeds United,M,2,11.76470588,33,3,27.27272727,57,36,93,79.48717949,1,25,3,11,0,13,1,1,1,0,2,0,3,11,0,0,0.23501019,0.2839,1,0,0,0,0,5,5,0,0,0,,12,60,0,0,0,24,4,2,0,1,263,0,0,0,0,1,0,0,0,0,0,53,2,0,6.58,0,0,0,0,0,0,0,0,0,0,2,4,3,2,3,42.85714286,5,2,40,2,7,17,13,54.16666667,11,74,43,117,6,0,182,4,0
Gabriel Gudmundsson,Leeds United,D,21,26.92307692,149,25,26.04166667,302,349,651,76.2295082,15,35.71428571,27,29,0,102,3,0,5,3,74,24,25,140,1,0,2.01857014,1.1039,30,0,0,0,0,42,37,5,0,0,,147,56.53846154,0,0,0,203,21,19,0,28,2373,3,1,0,0,0,0,0,0,0,0,416,8,0,6.565517241,1,0,0,0,0,0,0,0,0,0,11,7,10,3,35,50.72463768,61,41,67.21311475,19,69,78,162,53.64238411,96,438,416,854,18,0,1540,51,4
Jayden Bogle,Leeds United,D,13,23.63636364,139,26,34.21052632,288,294,582,76.57894737,22,46.80851064,25,29,1,119,4,3,7,3,64,28,21,138,1,1,1.68874944,2.0788,32,0,5.882352941,1,2,41,36,5,1,0,,93,45.14563107,0,0,0,178,29,14,1,27,2417,9,0,0,0,0,0,0,0,0,1,350,14,0,6.544827586,0,0,0,0,0,0,0,2417,0,0,10,7,6,4,16,32.65306122,54,34,62.96296296,14,49,55,115,45.45454545,76,421,339,760,17,0,1335,23,6
Joël Piroe,Leeds United,F,1,25,30,6,85.71428571,42,33,75,83.33333333,3,18.75,13,13,0,8,0,1,5,0,0,5,1,23,0,0,0.12653365,0.865,3,0,0,0,0,7,7,0,0,0,,2,16.66666667,0,0,0,15,1,1,0,2,277,1,0,0,0,0,0,0,0,0,0,30,2,0,6.430769231,0,0,0,0,0,0,0,0,0,0,8,3,4,2,1,33.33333333,1,1,100,1,3,4,5,17.85714286,7,53,37,90,11,0,132,0,0
Facundo Buonanotte,Leeds United,M,0,0,8,1,50,20,4,24,80,1,100,0,3,0,3,0,0,1,0,0,0,2,5,0,0,0.10055615,0.0401,1,0,0,0,0,2,2,0,0,0,,1,16.66666667,0,0,0,6,1,2,0,1,74,0,0,0,0,0,0,0,0,0,0,12,0,0,6.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,2,28.57142857,2,25,5,30,1,0,46,0,1
Sam Byram,Leeds United,D,0,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00000115,,1,0,0,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Elliot Anderson,Nottingham Forest,M,43,27.38853503,504,106,56.68449198,947,770,1717,85.76423576,59,59,41,31,2,259,6,1,16,6,36,49,34,205,0,3,3.51423719,2.4856,46,0,5.555555556,2,4,42,33,9,1,1,,195,54.31754875,0,0,0,285,34,48,0,31,2774,2,0,0,1,1,100,0,1,0,0,558,19,0,7.287096774,0,2,0,0,0,0,0,1387,0,2,15,21,12,8,40,51.94805195,90,56,62.22222222,48,77,157,254,55.33769063,187,1159,843,2002,36,2,2780,68,6
Stefan Ortega,Nottingham Forest,G,0,0,5,23,52.27272727,10,37,47,69.11764706,1,100,0,3,0,8,0,0,0,1,1,0,0,0,0,0,0.01525297,,0,0,0,0,0,4,4,0,0,0,1.0098,0,0,0,0,0,21,0,0,0,3,270,0,0,0,0,0,0,0,0,0,0,21,0,1,7.1,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,44,29,39,68,0,0,81,0,0
Murillo,Nottingham Forest,D,0,0,124,80,50.31446541,310,568,878,83.5394862,22,51.1627907,21,23,0,98,1,0,5,6,122,8,4,57,0,2,0.47235085,0.6098,19,0,10,1,1,28,20,8,1,0,,47,56.62650602,0,0,0,173,31,8,1,23,2001,0,1,0,0,0,0,0,0,0,0,206,3,0,7.004347826,0,0,0,0,0,0,0,2001,0,2,4,6,1,4,9,64.28571429,32,22,68.75,8,14,3,69,54.76190476,159,433,618,1051,10,1,1377,7,4
Ibrahim Sangaré,Nottingham Forest,M,0,0,148,31,55.35714286,357,341,698,87.14107366,21,44.68085106,26,23,2,87,2,1,2,7,43,13,19,101,0,3,1.65584254,1.1464,35,0,12.5,2,4,22,19,3,1,1,,74,49.66442953,0,0,1,103,18,9,0,21,1770,0,0,0,0,2,0,0,0,0,0,160,3,0,6.990909091,0,2,0,0,0,0,0,885,0,0,5,11,9,5,10,52.63157895,51,25,49.01960784,9,19,8,95,48.46938776,56,427,374,801,16,1,1083,14,5
Morato,Nottingham Forest,D,0,0,45,32,47.76119403,167,329,496,86.56195462,16,59.25925926,11,15,0,47,0,2,0,2,61,0,4,26,1,2,0.08536253,0.8298,11,0,0,0,0,17,14,3,0,0,,35,70,0,0,0,77,8,1,0,10,955,1,0,0,0,0,0,0,0,0,0,89,0,0,6.946153846,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4,100,24,15,62.5,1,4,1,51,66.23376623,67,212,361,573,4,0,739,7,4
Neco Williams,Nottingham Forest,D,21,20,269,36,32.14285714,460,448,908,82.99817185,35,53.03030303,31,30,3,136,5,2,14,8,72,26,31,138,1,2,3.30714703,1.6525,25,0,2.857142857,1,4,39,30,9,1,0,,149,58.203125,0,0,0,186,36,30,0,30,2620,3,0,0,0,1,0,0,0,0,0,429,10,0,6.89,1,1,0,0,0,0,0,2620,0,1,12,23,6,15,26,47.27272727,78,51,65.38461538,30,55,105,184,57.14285714,112,587,507,1094,35,2,1951,47,5
Callum Hudson-Odoi,Nottingham Forest,M,12,13.79310345,316,22,62.85714286,456,110,566,89.27444795,3,25,9,29,3,66,5,1,8,2,12,22,9,77,0,1,2.68399279,2.719,11,0,10.71428571,3,6,25,20,5,2,1,,55,44.71544715,0,0,1,68,8,39,0,20,1759,3,0,0,0,0,0,0,0,0,0,240,8,0,6.848275862,0,3,0,0,0,0,0,586.3333333,0,1,16,12,10,10,30,51.72413793,13,6,46.15384615,39,58,87,58,42.96296296,35,510,124,634,28,1,969,12,0
Nicolás Domínguez,Nottingham Forest,M,5,38.46153846,100,14,63.63636364,174,141,315,82.46073298,12,40,18,20,0,42,1,1,7,0,12,4,19,57,0,1,0.44056564,1.1544,11,0,6.25,1,1,18,16,2,1,0,,54,58.06451613,1,0,0,67,4,9,0,14,942,0,0,0,0,0,0,0,0,0,0,96,8,0,6.827777778,0,0,0,0,0,0,0,942,0,0,6,10,4,5,5,45.45454545,41,22,53.65853659,9,11,13,66,53.65853659,22,218,164,382,16,0,531,8,2
Ola Aina,Nottingham Forest,D,6,18.75,112,30,57.69230769,230,207,437,86.36363636,20,62.5,12,15,0,68,0,0,3,5,61,13,10,65,0,2,0.68624597,0.3559,13,0,0,0,0,17,15,2,0,0,,45,45.91836735,0,0,1,69,23,8,0,15,1321,0,0,1,0,0,0,0,0,0,0,184,2,0,6.82,0,0,0,0,0,0,0,0,0,0,4,7,7,1,13,41.93548387,23,17,73.91304348,7,31,32,65,50,52,277,229,506,11,0,902,10,3
Nikola Milenkovi?,Nottingham Forest,D,0,0,114,71,42.26190476,342,765,1107,86.68754894,76,67.85714286,36,31,0,87,1,2,2,8,179,2,10,60,0,1,0.49174212,0.8229,13,0,0,0,0,43,34,9,0,0,,41,63.07692308,0,0,0,170,26,1,0,31,2790,1,1,0,0,0,0,0,0,0,0,185,0,0,6.806451613,0,0,0,0,0,0,0,0,0,0,12,3,12,1,1,100,22,13,59.09090909,1,1,2,117,66.10169492,168,462,815,1277,15,1,1638,18,6
Morgan Gibbs-White,Nottingham Forest,M,7,20,387,37,56.92307692,610,250,860,81.74904943,39,35.77981651,70,31,2,92,3,6,19,6,29,31,20,164,1,3,2.14837061,8.3353,22,0,13.84615385,9,11,39,30,9,8,1,,74,44.04761905,2,0,0,192,11,44,1,30,2646,4,0,0,1,0,100,0,1,0,1,367,15,0,6.751612903,0,6,0,0,0,0,0,294,0,4,39,26,23,23,23,50,16,11,68.75,44,46,35,113,40.79422383,65,766,286,1052,65,0,1494,37,1
Luca Netz,Nottingham Forest,D,0,0,4,1,33.33333333,9,12,21,84,0,0,3,2,0,3,0,0,0,0,0,0,1,4,0,0,0.35721265,,0,0,0,0,0,0,0,0,0,0,,1,50,0,0,0,4,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,6,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,1,2,1,20,3,10,15,25,0,0,33,0,0
Oleksandr Zinchenko,Nottingham Forest,D,1,5.555555556,80,8,53.33333333,149,82,231,90.58823529,4,40,6,5,0,17,1,0,2,0,11,1,9,18,0,0,0.36348077,0.0763,1,0,0,0,0,6,5,1,0,0,,12,50,0,0,0,24,2,5,0,4,353,1,0,0,0,0,0,0,0,0,0,48,0,0,6.74,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,50,10,6,60,5,2,18,16,47.05882353,15,167,88,255,4,0,359,2,0
Omari Hutchinson,Nottingham Forest,M,23,20,154,9,42.85714286,241,100,341,83.17073171,3,12,22,24,3,69,6,2,7,3,6,19,15,102,1,1,3.07544562,1.7869,17,0,4.347826087,1,4,17,15,2,1,0,,69,46.30872483,0,0,0,69,7,26,1,12,1290,6,0,0,0,0,0,0,0,0,1,248,11,0,6.739130435,0,0,0,0,0,0,0,1290,0,0,15,8,6,10,33,52.38095238,18,10,55.55555556,26,63,115,72,41.37931034,21,293,117,410,23,0,789,19,0
Lorenzo Lucca,Nottingham Forest,F,0,0,2,0,0,4,2,6,46.15384615,4,50,4,3,0,1,0,1,0,0,3,2,0,7,0,0,0.0123707,0.7157,1,0,33.33333333,1,1,1,1,0,1,0,,2,40,1,0,0,7,1,1,0,1,120,1,0,0,0,0,0,0,0,0,0,13,0,0,6.733333333,0,0,0,0,0,0,0,120,0,0,3,0,2,1,0,0,0,0,0,1,0,0,6,46.15384615,0,10,3,13,3,0,29,2,0
Matz Sels,Nottingham Forest,G,0,0,32,122,31.44329897,97,243,340,55.73770492,5,83.33333333,1,24,0,157,0,0,0,6,22,0,1,2,2,1,0.08625838,,0,0,0,0,0,31,24,7,0,0,-0.8342,5,83.33333333,0,12,0,270,0,1,0,23,2037,0,0,0,0,0,0,4,0,0,0,273,0,11,6.733333333,0,0,44,23,67,1,16,0,0,0,0,0,0,0,0,0,1,1,100,1,0,0,10,83.33333333,388,321,289,610,0,1,802,4,2
Ryan Yates,Nottingham Forest,M,1,50,42,3,37.5,66,70,136,77.71428571,14,60.86956522,9,16,1,12,0,1,2,0,11,5,3,26,0,0,0.20869758,0.2239,8,0,0,0,1,5,3,2,0,0,,21,55.26315789,0,0,0,39,6,3,0,1,431,0,0,0,0,0,0,0,0,0,0,50,2,0,6.6625,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,50,11,8,72.72727273,3,2,2,35,57.37704918,8,95,80,175,5,0,249,9,1
Dan Ndoye,Nottingham Forest,M,9,21.42857143,99,7,53.84615385,160,61,221,78.36879433,11,44,14,23,1,50,2,1,4,0,11,19,12,80,0,0,1.53736363,1.0617,16,0,6.666666667,1,2,17,12,5,1,0,,58,46.77419355,1,0,0,61,10,14,0,14,1175,9,0,0,0,0,0,0,0,0,0,178,4,0,6.640909091,0,0,0,0,0,0,0,1175,0,0,10,5,7,4,13,39.39393939,23,13,56.52173913,14,33,42,69,46.30872483,13,202,80,282,15,0,553,22,1
Nicolò Savona,Nottingham Forest,D,8,29.62962963,79,13,27.65957447,141,173,314,78.69674185,7,58.33333333,5,14,0,27,1,0,1,3,29,2,15,36,0,0,0.43882839,1.3398,12,0,40,2,2,18,13,5,2,0,,27,46.55172414,0,0,0,85,4,7,1,11,1026,1,0,0,0,0,0,0,0,0,0,147,1,0,6.6,0,1,0,0,0,0,0,513,0,0,5,0,1,3,2,40,20,12,60,7,5,27,34,48.57142857,47,200,199,399,5,1,637,5,2
Jota Silva,Nottingham Forest,F,0,0,1,0,0,2,0,2,100,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0.00125608,,0,0,0,0,0,0,0,0,0,0,,3,100,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,0,1,3,75,0,2,0,2,0,0,8,1,0
Chris Wood,Nottingham Forest,F,0,0,18,0,0,34,19,53,67.08860759,11,36.66666667,19,8,0,7,0,3,0,0,5,2,4,30,0,1,0.11855246,2.7679,5,0,12.5,2,2,8,6,2,2,0,,6,35.29411765,0,0,1,26,0,3,1,7,544,3,0,0,0,0,0,0,0,0,0,40,3,0,6.55,0,1,0,0,0,0,0,272,0,0,16,0,10,6,1,100,1,1,100,3,1,1,17,36.17021277,1,55,24,79,16,1,125,4,0
